gene_name,l2fc_protein_starvedtorich,condition,cellline,RNA_pvalue,l2fc_RNA_starvedtorich,l2fc_protein_per_RNA,,,,,
NELFA,-1.030448155,Arg,293T,NA,NA,NA,,,,,
NELFB,-0.852496183,Arg,293T,NA,NA,NA,,,,,
NELFCD,-0.739109605,Arg,293T,0.245664873,0.700092401,-1.439202006,,,,,
NELFE,-1.999190495,Arg,293T,0.007165519,0.655878754,-2.655069249,,,,,
NEMF,-1.55641251,Arg,293T,1.82E-08,-0.906481666,-0.649930844,,,,,
IKBKG,-0.648457577,Arg,293T,NA,NA,NA,,,,,
NENF,-1.1284578,Arg,293T,0.710812623,-0.236702077,-0.891755723,,,,,
EMG1,-0.630345007,Arg,293T,0.01938667,0.427708098,-1.058053105,,,,,
NEPRO,-2.376265037,Arg,293T,NA,NA,NA,,,,,
NES,-0.838940747,Arg,293T,NA,NA,NA,,,,,
CMAS,-1.617498458,Arg,293T,4.89E-06,-2.021368385,0.403869928,,,,,
NLN,-1.716270473,Arg,293T,0.216575108,-1.085846584,-0.630423889,,,,,
NF1,-1.456730385,Arg,293T,0.788889309,0.146036943,-1.602767328,,,,,
NFATC2IP,-1.554671928,Arg,293T,NA,NA,NA,,,,,
NFKB2,0.263739667,Arg,293T,NA,NA,NA,,,,,
NEFL,-1.14742492,Arg,293T,0.27459067,-0.624526369,-0.522898551,,,,,
NEFM,-1.822428755,Arg,293T,0.141755817,0.476869658,-2.299298413,,,,,
NFRKB,-2.378401903,Arg,293T,0.792156392,-0.099962317,-2.278439585,,,,,
NFU1,-3.96068266,Arg,293T,0.001630408,0.751459079,-4.712141739,,,,,
NFX1,-2.434678347,Arg,293T,0.243305975,0.462347978,-2.897026325,,,,,
NFXL1,-1.285118913,Arg,293T,0.517676895,-0.339820759,-0.945298154,,,,,
NFYA,NA,Arg,293T,NA,NA,NA,,,,,
NFYC,-0.39763461,Arg,293T,0.172987494,1.031428555,-1.429063165,,,,,
NGDN,-1.28012554,Arg,293T,4.77E-19,1.857562314,-3.137687854,,,,,
NGRN,3.074958733,Arg,293T,0.057392532,-0.767215752,3.842174486,,,,,
SNU13,-0.621743648,Arg,293T,0.569274335,-0.069603925,-0.552139722,,,,,
NHEJ1,-0.526782907,Arg,293T,NA,NA,NA,,,,,
NHLRC2,-0.31328734,Arg,293T,NA,NA,NA,,,,,
SLC9A3R1,-1.907915283,Arg,293T,NA,NA,NA,,,,,
NIBAN2,-4.848090694,Arg,293T,NA,NA,NA,,,,,
NCSTN,NA,Arg,293T,NA,NA,NA,,,,,
NIF3L1,-0.67176223,Arg,293T,0.044637991,0.44388316,-1.11564539,,,,,
NIP7,-0.24903386,Arg,293T,0.528840822,0.169801722,-0.418835582,,,,,
ZC3HC1,-2.41728418,Arg,293T,0.005038269,0.86699948,-3.28428366,,,,,
NIPBL,-1.645062638,Arg,293T,0.779505455,0.093246572,-1.73830921,,,,,
NIPSNAP1,-0.807773855,Arg,293T,NA,NA,NA,,,,,
NIPSNAP2,-1.472676197,Arg,293T,NA,NA,NA,,,,,
NISCH,-1.14318162,Arg,293T,NA,NA,NA,,,,,
NIT2,0.685687765,Arg,293T,8.64E-05,-0.757294214,1.442981979,,,,,
C17orf75,-1.189067983,Arg,293T,0.003789583,-0.917200055,-0.271867927,,,,,
NKAP,-1.664601495,Arg,293T,3.18E-06,-1.064417727,-0.600183768,,,,,
NKRF,-1.9367766,Arg,293T,0.343182055,-0.581097478,-1.355679122,,,,,
NLE1,-1.006594892,Arg,293T,2.08E-07,-3.425887481,2.419292589,,,,,
SCP2,-1.500623252,Arg,293T,0.65260056,-0.359782399,-1.140840853,,,,,
NMD3,-1.614427707,Arg,293T,0.578566377,-0.257194811,-1.357232896,,,,,
NMT1,-0.44817032,Arg,293T,0.009650502,0.514829082,-0.962999402,,,,,
NAXE,-0.173482903,Arg,293T,NA,NA,NA,,,,,
NNT,-0.553015883,Arg,293T,0.595087078,-0.377295237,-0.175720645,,,,,
NOA1,-3.62269865,Arg,293T,0.870993122,-0.072201828,-3.550496822,,,,,
NOB1,-2.097151682,Arg,293T,0.298017338,-0.409059594,-1.688092089,,,,,
NOC2L,-0.863744595,Arg,293T,NA,NA,NA,,,,,
NOC3L,-0.832870477,Arg,293T,0.00613059,0.389886642,-1.22275712,,,,,
NOC4L,-1.11952042,Arg,293T,0.368324549,-0.466134523,-0.653385897,,,,,
GTPBP4,-0.974283473,Arg,293T,0.4176386,-0.112185752,-0.862097721,,,,,
GNL2,-0.676242412,Arg,293T,6.51E-21,0.919113731,-1.595356144,,,,,
NOL10,-1.085358173,Arg,293T,0.991112272,-0.002544157,-1.082814015,,,,,
NOL11,-1.377930728,Arg,293T,0.014844513,0.426664105,-1.804594832,,,,,
NOL12,-0.615415225,Arg,293T,0.528735832,0.109966126,-0.725381351,,,,,
NOL6,-2.505289252,Arg,293T,NA,NA,NA,,,,,
NOL7,-0.185295385,Arg,293T,0.202522791,0.252192633,-0.437488018,,,,,
NOL8,-3.58155441,Arg,293T,4.43E-06,-0.72589121,-2.8556632,,,,,
NOL9,-1.33558728,Arg,293T,NA,NA,NA,,,,,
NOLC1,-0.756748552,Arg,293T,0.974337798,-0.006476387,-0.750272166,,,,,
NOM1,-0.510145412,Arg,293T,0.08163798,-0.814800474,0.304655062,,,,,
NOMO1,-1.629802407,Arg,293T,0.717866019,-0.248538677,-1.38126373,,,,,
NONO,-1.318707155,Arg,293T,0.452545052,-0.190784218,-1.127922937,,,,,
NOP10,-0.103120098,Arg,293T,0.011723714,-0.424444462,0.321324365,,,,,
NOP14,-1.139484395,Arg,293T,0.076887155,-0.684612495,-0.4548719,,,,,
NOP16,-0.499018445,Arg,293T,0.006494328,0.447807272,-0.946825717,,,,,
NOP2,-0.774195717,Arg,293T,0.605182299,0.080089982,-0.8542857,,,,,
NOP53,-0.377178083,Arg,293T,NA,NA,NA,,,,,
NOP56,-0.785559305,Arg,293T,0.037645475,-0.251569482,-0.533989823,,,,,
NOP58,-0.510781997,Arg,293T,1.82E-36,1.250506419,-1.761288417,,,,,
NOP9,NA,Arg,293T,NA,NA,NA,,,,,
NOSIP,-1.083480755,Arg,293T,0.007151641,0.563294348,-1.646775103,,,,,
NAP1L1,-0.89775946,Arg,293T,0.00920311,0.253102381,-1.150861841,,,,,
NAP1L4,-1.811473718,Arg,293T,0.292030218,-0.463251316,-1.348222402,,,,,
URB1,-1.901573585,Arg,293T,NA,NA,NA,,,,,
NPC2,-0.884248028,Arg,293T,0.090261626,-0.380214235,-0.504033793,,,,,
NPLOC4,-0.55007064,Arg,293T,NA,NA,NA,,,,,
NPM1,-0.656922683,Arg,293T,0.054702287,-0.179097425,-0.477825258,,,,,
NPM3,-1.139686572,Arg,293T,NA,NA,NA,,,,,
NIPSNAP3A,-0.33341949,Arg,293T,0.486623316,0.267668563,-0.601088053,,,,,
NPTN,-1.019905297,Arg,293T,NA,NA,NA,,,,,
NRBP1,-1.50165531,Arg,293T,0.844650833,-0.171270756,-1.330384554,,,,,
NRDC,-2.396059728,Arg,293T,NA,NA,NA,,,,,
NRDE2,-3.067157293,Arg,293T,0.123619736,0.571009784,-3.638167077,,,,,
IVNS1ABP,-4.551390465,Arg,293T,0.032872907,-0.882171123,-3.669219342,,,,,
NSA2,-0.92315154,Arg,293T,0.206970759,0.192565583,-1.115717123,,,,,
NSD2,-4.317371258,Arg,293T,NA,NA,NA,,,,,
NSD3,-4.391492271,Arg,293T,NA,NA,NA,,,,,
NSDHL,-2.49816945,Arg,293T,0.014740457,-0.47465128,-2.02351817,,,,,
NSMCE3,-0.773971795,Arg,293T,NA,NA,NA,,,,,
NSF,-1.685025625,Arg,293T,0.04511548,-1.038450172,-0.646575453,,,,,
NSFL1C,-0.813200648,Arg,293T,3.81E-05,0.929950741,-1.743151389,,,,,
SMPD4,-1.399653428,Arg,293T,NA,NA,NA,,,,,
NSRP1,-3.387842168,Arg,293T,0.216754467,0.212752356,-3.600594524,,,,,
NSUN2,-1.096998075,Arg,293T,0.070099629,-1.892725624,0.795727549,,,,,
NSUN5,-0.22861198,Arg,293T,3.26E-06,1.445924586,-1.674536566,,,,,
NT5C,-0.661029098,Arg,293T,1.69E-05,-1.61875427,0.957725173,,,,,
NT5DC1,-0.98486392,Arg,293T,9.30E-05,-1.95206851,0.96720459,,,,,
NT5DC2,-3.186165577,Arg,293T,0.363269024,0.347549758,-3.533715335,,,,,
NUTF2,-0.326673678,Arg,293T,0.094203157,-0.349048009,0.022374331,,,,,
NTMT1,-0.838140473,Arg,293T,1.89E-07,0.908384837,-1.746525309,,,,,
NTPCR,-1.489864195,Arg,293T,0.209447796,-0.263559261,-1.226304934,,,,,
NUP107,-1.462716318,Arg,293T,1.62E-05,0.823504829,-2.286221147,,,,,
NUP133,-2.325713553,Arg,293T,0.262543956,0.370000775,-2.695714328,,,,,
NUP153,-1.80195857,Arg,293T,0.725206392,-0.239472251,-1.562486319,,,,,
NUP155,-1.076327972,Arg,293T,0.005087486,-0.636417887,-0.439910086,,,,,
NUP160,-1.072860637,Arg,293T,0.749392082,-0.202787872,-0.870072765,,,,,
NUP188,-1.2971892,Arg,293T,0.767059475,0.278104453,-1.575293653,,,,,
ND1,-0.794075722,Arg,293T,NA,NA,NA,,,,,
NUP205,-1.618007022,Arg,293T,0.064695928,0.423042576,-2.041049599,,,,,
NUP214,-1.083550538,Arg,293T,6.60E-04,1.246484183,-2.330034721,,,,,
ND2,-0.88494717,Arg,293T,NA,NA,NA,,,,,
ND4,-1.732989244,Arg,293T,NA,NA,NA,,,,,
ND5,-0.95762373,Arg,293T,NA,NA,NA,,,,,
NUB1,-1.409468215,Arg,293T,0.006088514,0.673905031,-2.083373246,,,,,
NUBP2,-1.152109637,Arg,293T,NA,NA,NA,,,,,
NUCB1,-7.89748053,Arg,293T,NA,NA,NA,,,,,
NUCB2,-2.515493455,Arg,293T,0.052365556,0.289335166,-2.804828621,,,,,
NUCKS1,-0.613228832,Arg,293T,0.666941471,0.124941721,-0.738170554,,,,,
NCL,-1.337266447,Arg,293T,0.004691562,-0.870753976,-0.466512471,,,,,
NUDT12,-1.343559017,Arg,293T,8.96E-08,-2.245655688,0.902096671,,,,,
NUDT16,-0.962005827,Arg,293T,NA,NA,NA,,,,,
NUDC,-1.092915507,Arg,293T,0.66049996,0.085335065,-1.178250573,,,,,
NUDCD1,-0.850694268,Arg,293T,0.013662633,0.658326522,-1.50902079,,,,,
NUDCD2,-0.747241445,Arg,293T,0.837793213,0.082926267,-0.830167712,,,,,
NUDCD3,-2.453625627,Arg,293T,0.193428479,0.618435637,-3.072061264,,,,,
NUDT5,-1.153667113,Arg,293T,9.13E-05,0.639423232,-1.793090345,,,,,
NUDT9,-1.971392433,Arg,293T,0.017932885,0.642672906,-2.614065339,,,,,
NUF2,-3.917874947,Arg,293T,0.274137495,-0.238325896,-3.67954905,,,,,
NUFIP2,-1.017644318,Arg,293T,0.907877967,0.049339833,-1.06698415,,,,,
NUMA1,-0.880047153,Arg,293T,NA,NA,NA,,,,,
NUP37,-1.348398847,Arg,293T,0.001552639,0.637548346,-1.985947193,,,,,
NUP43,-1.437591363,Arg,293T,0.711720219,-0.248081864,-1.189509499,,,,,
NUP50,-1.49931084,Arg,293T,0.144317731,0.761128427,-2.260439267,,,,,
NUP35,-1.006535983,Arg,293T,NA,NA,NA,,,,,
NUP54,-0.44682606,Arg,293T,0.103821439,-1.135799605,0.688973545,,,,,
NUP58,-0.80570201,Arg,293T,NA,NA,NA,,,,,
NUP62,-0.8630372,Arg,293T,NA,NA,NA,,,,,
NUP85,-1.09012944,Arg,293T,0.064431345,0.419868774,-1.509998214,,,,,
NUP88,-1.327161715,Arg,293T,0.003830565,-0.806014961,-0.521146754,,,,,
NUP93,-1.46651743,Arg,293T,0.698083959,0.082226021,-1.548743451,,,,,
NUP98,-1.114070587,Arg,293T,0.575333193,-0.408231239,-0.705839348,,,,,
NUP42,-1.60057925,Arg,293T,NA,NA,NA,,,,,
NUSAP1,-1.198384852,Arg,293T,1.68E-10,0.583178274,-1.781563126,,,,,
NVL,-1.777687635,Arg,293T,0.230371135,0.248072754,-2.025760389,,,,,
NXF1,-1.225422412,Arg,293T,0.824749453,0.078765054,-1.304187466,,,,,
NXN,-2.957563701,Arg,293T,0.508085523,-2.795747766,-0.161815935,,,,,
OARD1,0.96518245,Arg,293T,NA,NA,NA,,,,,
OAT,-2.204464228,Arg,293T,NA,NA,NA,,,,,
OCIAD1,-1.470374433,Arg,293T,0.507220752,0.261012062,-1.731386494,,,,,
OCLN,-2.760881863,Arg,293T,NA,NA,NA,,,,,
OCRL,-1.78317177,Arg,293T,NA,NA,NA,,,,,
DBT,-0.025785367,Arg,293T,0.887111085,0.124982229,-0.150767596,,,,,
BCKDHA,-0.832016298,Arg,293T,NA,NA,NA,,,,,
BCKDHB,-0.81858907,Arg,293T,NA,NA,NA,,,,,
OGDH,-1.13233661,Arg,293T,NA,NA,NA,,,,,
DLST,-0.287169027,Arg,293T,0.668341795,0.303990072,-0.591159099,,,,,
DLAT,-0.836344455,Arg,293T,0.001130881,-1.766426308,0.930081853,,,,,
PDHA1,-0.948997545,Arg,293T,0.001128417,-0.581737791,-0.367259754,,,,,
PDHB,-1.061946168,Arg,293T,2.32E-53,-2.4965826,1.434636432,,,,,
PDHX,-0.529197662,Arg,293T,0.081343448,-0.793498142,0.26430048,,,,,
ODR4,-0.940386015,Arg,293T,NA,NA,NA,,,,,
POFUT1,-1.443042948,Arg,293T,NA,NA,NA,,,,,
OGA,-1.22552356,Arg,293T,NA,NA,NA,,,,,
OGFOD1,-2.527119463,Arg,293T,6.44E-06,1.283768488,-3.810887951,,,,,
OGFR,-2.043505303,Arg,293T,NA,NA,NA,,,,,
OGT,-4.853387558,Arg,293T,0.151537793,0.882762434,-5.736149992,,,,,
OLA1,-0.661810265,Arg,293T,0.341736314,0.225144051,-0.886954316,,,,,
OPA1,-2.84178614,Arg,293T,2.49E-04,-1.706862275,-1.134923865,,,,,
ORC2,-1.481723083,Arg,293T,0.861387422,-0.132073509,-1.349649573,,,,,
ORC3,-2.287354252,Arg,293T,0.004528897,-0.719441614,-1.567912639,,,,,
ORC4,-1.918971762,Arg,293T,0.629274448,0.097251432,-2.016223195,,,,,
ORC6,-3.972629338,Arg,293T,0.361040206,0.498947416,-4.471576754,,,,,
ORMDL1,-0.914995647,Arg,293T,0.238996219,0.476543692,-1.391539339,,,,,
REXO2,-0.569512423,Arg,293T,9.16E-04,0.637369858,-1.206882281,,,,,
OSBPL11,-1.4433426,Arg,293T,NA,NA,NA,,,,,
OSBPL3,-3.443899797,Arg,293T,NA,NA,NA,,,,,
OSBPL8,-1.495849207,Arg,293T,0.477995464,0.18533779,-1.681186997,,,,,
OSBPL9,-1.674959043,Arg,293T,0.010514244,1.069941962,-2.744901005,,,,,
OSBP,-1.216525115,Arg,293T,0.751650651,0.313622518,-1.530147633,,,,,
OSGEP,-0.395585887,Arg,293T,2.61E-04,-0.68745359,0.291867703,,,,,
DDOST,-1.937882445,Arg,293T,0.199591514,0.308164689,-2.246047134,,,,,
OSTC,-0.594341512,Arg,293T,0.752647174,-0.094364806,-0.499976706,,,,,
OSTF1,-1.660806022,Arg,293T,NA,NA,NA,,,,,
OTUD6B,-0.03196968,Arg,293T,0.560431042,-0.403908943,0.371939263,,,,,
OTUD7B,-1.914232467,Arg,293T,NA,NA,NA,,,,,
OTUB1,-0.370083188,Arg,293T,0.040811177,-0.427734988,0.057651801,,,,,
OTUD4,-0.86229496,Arg,293T,NA,NA,NA,,,,,
OTUD5,-1.055483073,Arg,293T,NA,NA,NA,,,,,
OVCA2,-0.905599537,Arg,293T,0.273507153,0.419084739,-1.324684277,,,,,
OXA1L,-2.337174217,Arg,293T,NA,NA,NA,,,,,
OXSR1,-1.022230647,Arg,293T,0.931239364,-0.037975293,-0.984255355,,,,,
A8CG34,-1.124999663,Arg,293T,NA,NA,NA,,,,,
PM20D2,-0.496720073,Arg,293T,NA,NA,NA,,,,,
PIK3C2A,-3.600623884,Arg,293T,0.072078392,0.828621419,-4.429245303,,,,,
P3H1,-2.983918933,Arg,293T,NA,NA,NA,,,,,
P4HA1,-6.111533038,Arg,293T,0.281595416,-0.883182538,-5.2283505,,,,,
PI4K2A,3.29542288,Arg,293T,NA,NA,NA,,,,,
PPP4R3A,-1.671621545,Arg,293T,0.288409087,0.486542568,-2.158164113,,,,,
PPP4R3B,-3.85368361,Arg,293T,0.717901733,0.156008108,-4.009691718,,,,,
TP53,-0.688737583,Arg,293T,NA,NA,NA,,,,,
PYCR1,-0.17066142,Arg,293T,NA,NA,NA,,,,,
PYCR2,-0.98239705,Arg,293T,NA,NA,NA,,,,,
ALDH18A1,-0.953584077,Arg,293T,NA,NA,NA,,,,,
GATAD2A,-2.734930495,Arg,293T,NA,NA,NA,,,,,
GATAD2B,-1.635404303,Arg,293T,0.930698168,0.075444604,-1.710848906,,,,,
PAFAH1B2,-0.712898865,Arg,293T,0.372098925,-0.815975002,0.103076137,,,,,
PAFAH1B3,-0.307877583,Arg,293T,2.21E-07,-1.45163883,1.143761247,,,,,
PA2G4,-1.048329895,Arg,293T,0.030328503,-0.300009193,-0.748320702,,,,,
PAAF1,-0.883709422,Arg,293T,0.012507184,0.905586035,-1.789295458,,,,,
PABPC1,-1.159291922,Arg,293T,0.429265578,0.260958473,-1.420250395,,,,,
PABPN1,-1.057453923,Arg,293T,0.691264185,-0.102846927,-0.954606996,,,,,
PABPC4,-0.971645265,Arg,293T,0.406396347,0.309764929,-1.281410194,,,,,
PACSIN2,-0.762574905,Arg,293T,0.552900892,0.353608104,-1.116183009,,,,,
PAF1,-3.418263202,Arg,293T,1.13E-04,-1.829855394,-1.588407808,,,,,
PCLAF,-0.708504908,Arg,293T,NA,NA,NA,,,,,
PAIP1,-1.125122275,Arg,293T,0.100696989,0.444908986,-1.570031261,,,,,
SERBP1,-2.478110795,Arg,293T,0.001844194,-0.700918205,-1.77719259,,,,,
PAK1,-0.36495402,Arg,293T,0.374039676,0.475037236,-0.839991256,,,,,
PAK2,-1.159251002,Arg,293T,0.945882495,-0.063545726,-1.095705277,,,,,
PAK4,-1.701692102,Arg,293T,NA,NA,NA,,,,,
PPIAL4C,2.386948648,Arg,293T,0.382811277,0.13923309,2.247715559,,,,,
PALD1,2.74716698,Arg,293T,NA,NA,NA,,,,,
PANK4,-4.454584436,Arg,293T,NA,NA,NA,,,,,
MTPAP,-1.631465445,Arg,293T,0.442689586,-0.665518546,-0.965946899,,,,,
TENT4B,-2.14361336,Arg,293T,NA,NA,NA,,,,,
PAPOLA,-2.116632812,Arg,293T,0.0020759,-0.797817002,-1.31881581,,,,,
PAPSS1,-1.2079301,Arg,293T,0.660073071,-0.234038567,-0.973891533,,,,,
PAPSS2,-1.023852497,Arg,293T,NA,NA,NA,,,,,
PARK7,-0.508911907,Arg,293T,0.085275076,-0.292711638,-0.216200269,,,,,
PARN,-0.863712935,Arg,293T,0.815886002,-0.12484028,-0.738872655,,,,,
PARP1,-0.7162257,Arg,293T,1.03E-07,-1.177329727,0.461104027,,,,,
PARVA,0.3745871,Arg,293T,NA,NA,NA,,,,,
PARVB,-6.674873667,Arg,293T,NA,NA,NA,,,,,
PATL1,-1.119776103,Arg,293T,NA,NA,NA,,,,,
PAWR,-2.939918685,Arg,293T,NA,NA,NA,,,,,
PAXBP1,-1.67754341,Arg,293T,NA,NA,NA,,,,,
PXN,-0.356340455,Arg,293T,NA,NA,NA,,,,,
PAXIP1,-2.239336851,Arg,293T,0.507558985,0.270925329,-2.51026218,,,,,
PBRM1,-3.803357779,Arg,293T,NA,NA,NA,,,,,
PBDC1,-0.936149623,Arg,293T,0.416454607,0.153436588,-1.08958621,,,,,
PBX1,-1.429385375,Arg,293T,NA,NA,NA,,,,,
LPCAT1,-1.234597188,Arg,293T,NA,NA,NA,,,,,
PCBP1,-1.802019405,Arg,293T,0.073077089,0.510656868,-2.312676273,,,,,
PCBP2,-1.041860153,Arg,293T,1.18E-07,1.150235372,-2.192095524,,,,,
PCBP3,-0.215261483,Arg,293T,NA,NA,NA,,,,,
PCCB,0.070314943,Arg,293T,1.95E-04,-1.068100635,1.138415579,,,,,
TRIP13,-1.040203483,Arg,293T,NA,NA,NA,,,,,
PCID2,-0.84138068,Arg,293T,0.005691439,-1.433498789,0.592118109,,,,,
PCK2,0.79842281,Arg,293T,0.029136528,1.130168227,-0.331745417,,,,,
PCM1,-9.180168866,Arg,293T,0.328461384,-0.33378358,-8.846385287,,,,,
PCNA,0.509246582,Arg,293T,3.62E-20,1.543557186,-1.034310603,,,,,
PCNP,-0.197621902,Arg,293T,0.081392142,-0.441138324,0.243516421,,,,,
PCYT1A,-0.01027845,Arg,293T,0.008247262,-1.390239874,1.379961424,,,,,
PCYOX1,-1.910081201,Arg,293T,0.003227179,-1.72012978,-0.189951421,,,,,
PDCD10,-0.774685635,Arg,293T,0.253310622,0.227105894,-1.001791529,,,,,
PDCD6IP,-1.456331285,Arg,293T,0.210921403,0.609209531,-2.065540816,,,,,
PDCD2,0.422544396,Arg,293T,0.300848688,0.352854524,0.069689872,,,,,
PDCD5,-1.800962088,Arg,293T,6.08E-27,-1.86794477,0.066982682,,,,,
PDCD6,-0.541587115,Arg,293T,0.317323653,-0.37504327,-0.166543845,,,,,
PDCL3,-4.195276863,Arg,293T,3.76E-05,-0.845025781,-3.350251082,,,,,
PDCD2L,-0.91399926,Arg,293T,0.834149566,-0.08444632,-0.82955294,,,,,
PDE12,-1.444800798,Arg,293T,NA,NA,NA,,,,,
PDE6D,-1.32272069,Arg,293T,NA,NA,NA,,,,,
P4HB,-0.93607408,Arg,293T,7.39E-04,-2.477511501,1.541437421,,,,,
PDIA3,-0.99042776,Arg,293T,0.01259373,-0.853147441,-0.137280319,,,,,
PDIA4,-1.24386368,Arg,293T,0.010725538,-1.65170923,0.40784555,,,,,
PDIA6,-1.17442547,Arg,293T,0.973831489,0.006622291,-1.181047761,,,,,
POLDIP2,-1.895978995,Arg,293T,NA,NA,NA,,,,,
POLDIP3,-1.007859548,Arg,293T,0.246351044,0.410554457,-1.418414005,,,,,
PDK3,-1.786021315,Arg,293T,NA,NA,NA,,,,,
PDLIM1,-0.95907635,Arg,293T,0.140879166,0.84847619,-1.80755254,,,,,
PDLIM5,-1.33995207,Arg,293T,8.48E-04,0.994279666,-2.334231736,,,,,
PDLIM7,-2.07696688,Arg,293T,NA,NA,NA,,,,,
PDPR,-0.229615233,Arg,293T,NA,NA,NA,,,,,
PDS5A,-1.446789615,Arg,293T,0.391086727,0.394156166,-1.840945781,,,,,
PDS5B,-1.154134335,Arg,293T,0.545219924,0.205055969,-1.359190304,,,,,
PDXDC1,-3.74127995,Arg,293T,0.817500078,0.138252914,-3.879532864,,,,,
PDXK,0.213621668,Arg,293T,0.116368375,-1.555512588,1.769134255,,,,,
PDZD11,-1.69446884,Arg,293T,0.041685734,0.934512559,-2.628981399,,,,,
PEA15,0.587698625,Arg,293T,NA,NA,NA,,,,,
CBFB,-1.538691527,Arg,293T,NA,NA,NA,,,,,
PEBP1,-0.663838505,Arg,293T,0.17001224,-0.436258641,-0.227579864,,,,,
PEF1,-0.408547697,Arg,293T,NA,NA,NA,,,,,
PELO,-0.437464526,Arg,293T,0.639624856,-0.182566085,-0.254898441,,,,,
PELP1,-0.932678472,Arg,293T,0.832163079,0.185092352,-1.117770824,,,,,
PEPD,-0.288026805,Arg,293T,0.686781838,-0.173074642,-0.114952163,,,,,
PES1,-0.38466938,Arg,293T,0.195446678,-0.59199666,0.20732728,,,,,
PEX14,-0.682469772,Arg,293T,0.720299119,0.198672132,-0.881141905,,,,,
PEX19,-3.153003085,Arg,293T,NA,NA,NA,,,,,
PFDN2,-1.210275198,Arg,293T,9.45E-04,0.675627798,-1.885902996,,,,,
VBP1,-2.380528967,Arg,293T,3.58E-08,-1.128809361,-1.251719607,,,,,
PFDN4,-1.387301135,Arg,293T,0.013042204,-0.428328934,-0.958972201,,,,,
PFDN5,-2.801222378,Arg,293T,0.25033986,0.183732944,-2.984955322,,,,,
PFDN6,-2.120291715,Arg,293T,NA,NA,NA,,,,,
PFKL,-0.983334987,Arg,293T,NA,NA,NA,,,,,
PFKM,-1.353484285,Arg,293T,0.035419908,-1.408021313,0.054537028,,,,,
PFKP,-2.749821015,Arg,293T,0.464804495,0.354530736,-3.104351751,,,,,
PGAM1,-1.02147452,Arg,293T,NA,NA,NA,,,,,
PGAM5,-1.558851,Arg,293T,NA,NA,NA,,,,,
PTGES2,-0.6522908,Arg,293T,NA,NA,NA,,,,,
PGK1,-0.707464912,Arg,293T,6.34E-07,-1.106124208,0.398659296,,,,,
PGK2,1.001425758,Arg,293T,0.061676375,-1.042183284,2.043609042,,,,,
PGM1,-0.544442105,Arg,293T,NA,NA,NA,,,,,
PGM2,-0.67256683,Arg,293T,0.058939885,-1.245821815,0.573254985,,,,,
PGM2L1,-0.820890558,Arg,293T,NA,NA,NA,,,,,
PGP,-0.686589683,Arg,293T,0.118983853,-1.151141216,0.464551533,,,,,
PGRMC1,-1.28792637,Arg,293T,0.693362194,-0.298011069,-0.989915301,,,,,
PGRMC2,-1.728244429,Arg,293T,NA,NA,NA,,,,,
RABGGTA,-1.484890613,Arg,293T,NA,NA,NA,,,,,
RABGGTB,-1.240308425,Arg,293T,0.126167317,-0.277415827,-0.962892598,,,,,
PHACTR4,-1.49895414,Arg,293T,0.026227497,-1.482475406,-0.016478734,,,,,
PHAX,-2.128854687,Arg,293T,0.309950861,0.162995128,-2.291849816,,,,,
PHB,-1.133613188,Arg,293T,0.001015579,-0.579247567,-0.55436562,,,,,
PHB2,-1.027593402,Arg,293T,0.049375359,-1.203030117,0.175436714,,,,,
PHF2,0.530305787,Arg,293T,NA,NA,NA,,,,,
PHF3,-4.840721251,Arg,293T,0.84835245,-0.054887377,-4.785833874,,,,,
PHF6,-0.882473632,Arg,293T,0.410017033,-0.144263939,-0.738209693,,,,,
PHF8,-0.73075385,Arg,293T,NA,NA,NA,,,,,
PHIP,-1.06049519,Arg,293T,0.166872774,0.467499039,-1.527994229,,,,,
PHKG2,-1.802798725,Arg,293T,0.003588811,-1.437538558,-0.365260167,,,,,
PDCL,-1.943607483,Arg,293T,0.983329103,-0.007298047,-1.936309435,,,,,
MOB4,-1.532605642,Arg,293T,0.009568326,0.8158695,-2.348475142,,,,,
PHPT1,-0.014953108,Arg,293T,0.977704345,-0.005880473,-0.009072635,,,,,
PCBD1,-0.64905454,Arg,293T,0.184216833,-1.191805686,0.542751146,,,,,
PIK3R4,-4.322710408,Arg,293T,0.10253224,1.254995067,-5.577705475,,,,,
PIP4K2A,-0.623430415,Arg,293T,NA,NA,NA,,,,,
PIP4K2C,-1.087859325,Arg,293T,NA,NA,NA,,,,,
PI4KA,-3.064159417,Arg,293T,NA,NA,NA,,,,,
PI4KB,-2.551812503,Arg,293T,NA,NA,NA,,,,,
PICALM,-1.61973126,Arg,293T,NA,NA,NA,,,,,
PCMT1,-0.45128033,Arg,293T,2.75E-06,0.660937649,-1.112217979,,,,,
PIN1,-0.70729734,Arg,293T,0.567457268,0.28760059,-0.99489793,,,,,
PIN4,-1.438017543,Arg,293T,0.00226404,0.479908468,-1.917926011,,,,,
PNN,-1.892311705,Arg,293T,0.246609526,-0.204989586,-1.687322119,,,,,
PINX1,-9.326955262,Arg,293T,0.241268649,-0.415354769,-8.911600492,,,,,
PITPNA,-2.415594945,Arg,293T,NA,NA,NA,,,,,
PITPNB,-1.773939652,Arg,293T,0.003207667,-1.045746292,-0.72819336,,,,,
PIR,-1.322561607,Arg,293T,1.62E-15,-2.828975952,1.506414344,,,,,
PITHD1,-1.223928013,Arg,293T,NA,NA,NA,,,,,
